X,Y,OBJECTID,EGIS_ID,REG_ID,BSTP_GEO_ID,BSTP_OPS_TCD,BSTP_EFF_DATE,BSTP_TCD,AT_STR,ON_STR,BSTP_HDG,BSTP_POS_TCD,BSTP_LDC,BSTP_MSG_TEXT,BSTP_LAT_LON_TCD,BSTP_INV_SYR_TCD,BSTP_INV_SRV_DATE,BSTP_BNH_CNT,BSTP_BST_TCD,BSTP_IFC_OWN,BSTP_HAS_BKRS,BSTP_HAS_PRS,BSTP_HAS_PVM,BSTP_HAS_PRM,BSTP_PDP_SIZE_TCD,BSTP_PDP_MTR_TCD,BSTP_PDP_OBS_TCD,BSTP_PDP_HAS_CCN,BSTP_HAS_BDR_PDP,BSTP_BDR_PDP_OBS,BSTP_SWK_WDT,BSTP_SWK_HAS_CCN,BSTP_SWK_HAS_PPC,BSTP_SWK_SLP_WVL,BSTP_SWK_OBS_TCD,BSTP_SWK_IPD_TCD,ONS_CRP_SLP,ONS_CRP,OFS_CRP,AT_STR_ABS_CRP,AT_STR_OSS_CRP,ONS_CWK,OFS_CWK,AT_STR_ABS_CWK,AT_STR_OSS_CWK,ON_STR_STS_OR_TFL,ON_STR_PDC_SGL,AT_STR_PDC_SGL,BSTP_PRK_RST_TCD,BSTP_NPK_ZNE_LTH,CNF_NPK_SNS,STR_LGT_WTN_30_FT,BSTP_HAS_LED_DSP,BSTP_ACC_RATING,BSTP_BRDG_STP,BSTP_HAS_LUM_SIGN,BSTP_HAS_PWR_SRC,METRO_ACCS_STP,BSTP_LON,BSTP_LAT
-77.0289022923784,38.9093577883508,21,1307502,1001416,6440,PRS,1901/01/01 05:00:00+00,REV,P ST NW,LOGAN CIR NW,40,NEA,UNKNOWN,LOGAN CIR NW + P ST NW,,KFH,2006/07/25 04:00:00+00,0,UNK,WMAT,N,Y,N,N,58U,BRK,NON,Y,N,E,6,Y,Y,N,NON,UNK,4.40000009536743,Y,N,Y,N,N,N,Y,U,Y,Y,Y,NSG,,N,Y,U,N,U,U,U,U,-77.0289,38.90935
-77.0443082941332,38.9026847814139,22,1307498,1001243,6057,PRS,1964/11/15 05:00:00+00,REV,K ST NW,K ST NW,267,FAR,200' W OF ON LIGHT POLE,K ST NW + K ST NW,,KFH,2006/07/14 04:00:00+00,,UNK,UNKW,N,U,U,U,UNK,UNK,UNK,U,U,U,0,U,U,U,UNK,UNK,,U,U,U,U,U,U,U,U,U,U,U,UNK,,U,U,U,U,U,U,U,U,-77.044306,38.902677
-77.0226082919511,38.8936757865861,23,1307610,1003398,16660,PRS,1962/02/15 05:00:00+00,REV,7TH ST NW,PENNSYLVANIA AVE NW,288,FAR,ON LAMPPOST 100' W OF ---,PENNSYLVANIA AVE NW + 7TH ST NW,,KFH,2006/06/30 04:00:00+00,1,FRE,UNKW,N,N,N,N,58U,BRK,NON,Y,N,E,11,Y,Y,N,NON,UNK,4.40000009536743,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NSG,,N,Y,U,Y,U,U,U,U,-77.022606,38.893668
-77.0355703046897,38.9916598027138,24,1308554,1002935,11846,PRS,1901/01/01 05:00:00+00,REV,16TH ST NW,EASTERN AVE NW,318,NEA,"5' E OF DRWY FROM BLAIR HOUSE APTS; LIMITED STOP EXPRESS",EASTERN AVE NW + 16TH ST NW,,KFH,2009/06/03 04:00:00+00,0,UNK,WMAT,N,Y,N,Y,UNK,UNK,UNK,U,N,E,0,U,E,U,UNK,UNK,4.30000019073486,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,NSG,,N,N,U,U,U,U,U,U,-77.035568,38.991652
-76.9990302720791,38.742789752033,25,1306809,3000127,134,PRS,1985/06/30 04:00:00+00,REV,FORT WASHINGTON RD,LIVINGSTON RD,335,FAR,"S OF 1ST DRWY; @ SPEED LIMIT SIGN",LIVINGSTON RD + FORT WASHINGTON RD,,KFH,2006/09/12 04:00:00+00,,UNK,UNKW,N,U,U,U,UNK,UNK,UNK,U,U,U,0,U,U,U,UNK,UNK,,U,U,U,U,U,U,U,U,U,U,U,UNK,,U,U,U,U,U,U,U,U,-76.999028,38.742782
-76.9143092512559,38.7969477734906,26,1303580,3000305,680,PRS,1901/01/01 05:00:00+00,REV,WESTCHESTER CT,ALLENTOWN RD,36,FAR,UNKNOWN,ALLENTOWN RD + WESTCHESTER CT,,KFH,2006/06/27 04:00:00+00,0,UNK,UNKW,N,N,N,N,58U,CON,NON,Y,N,E,4,Y,Y,N,NON,UNK,8,N,N,Y,N,N,N,N,N,Y,N,N,NPL,,U,N,U,N,U,U,U,U,-76.914307,38.79694
-77.3557333920405,38.851427763929,27,1311958,5004691,18512,PRS,2013/12/29 05:00:00+00,UNK,FORUM DR,GOVERNMENT CENTER PKWY,315,NEX,40' E OF STOP LINE,GOVERNMENT CENTER PKWY + FORUM DR,,UNK,1900/01/01 05:00:00+00,,UNK,UNKW,U,U,U,U,UNK,UNK,UNK,U,U,U,0,U,U,U,UNK,UNK,,U,U,U,U,U,U,U,U,U,U,U,UNK,,U,U,U,U,U,U,U,U,-77.355731,38.85142
-77.0174962809266,38.8232837720578,28,1306911,1000015,1521,PRS,1995/12/29 05:00:00+00,REV,LABORATORY RD,OVERLOOK AVE SW,179,NEA,300' N OF ---,OVERLOOK AVE SW + LABORATORY RD,,KFH,2006/04/12 04:00:00+00,0,UNK,WMAT,N,Y,N,Y,SWK,CON,NON,Y,N,E,6,Y,Y,N,NON,UNK,,N,N,N,N,N,N,N,Y,N,N,N,NSG,,N,Y,U,N,U,U,U,U,-77.017494,38.823276
-76.9800222699436,38.7272247514262,29,1306887,3000108,111,PRS,1987/12/14 05:00:00+00,UNK,#11811,OLD FORT RD,218,NEA,@ PEPCO POLE #805325-9085,OLD FORT RD + #11811,,KFH,2006/09/07 04:00:00+00,,UNK,UNKW,N,N,N,N,UNK,UNK,UNK,U,N,E,0,U,E,U,UNK,UNK,,N,N,U,N,N,N,U,U,N,N,N,NPL,,U,Y,U,N,U,U,U,U,-76.98002,38.727217
-76.9057692490902,38.8970107944818,30,1301516,3001046,5615,PRS,1901/01/01 05:00:00+00,REV,65TH AVE,MARTIN LUTHER KING JR HWY,43,FAR,@ KASH KING STORE,MARTIN LUTHER KING JR HWY + 65TH AVE,,KFH,2006/06/20 04:00:00+00,0,UNK,WMAT,N,Y,N,Y,58U,CON,NON,Y,N,E,3,Y,Y,N,NON,UPV,,N,Y,Y,N,N,Y,Y,U,N,N,N,NPL,,U,N,U,N,U,U,U,U,-76.905767,38.897003
